,title,id,revenue,vote_average,vote_count,genre1,genre2,genre3,genre4,genre5,genre6,genre7
0,Toy Story,862,373554033.0,7.7,5415.0,Animation,Comedy,Family,,,,
1,Jumanji,8844,262797249.0,6.9,2413.0,Adventure,Fantasy,Family,,,,
2,Heat,949,187436818.0,7.7,1886.0,Action,Crime,Drama,Thriller,,,
3,GoldenEye,710,352194034.0,6.6,1194.0,Adventure,Action,Thriller,,,,
4,The American President,9087,107879496.0,6.5,199.0,Comedy,Drama,Romance,,,,
5,Cutthroat Island,1408,10017322.0,5.7,137.0,Action,Adventure,,,,,
6,Casino,524,116112375.0,7.8,1343.0,Drama,Crime,,,,,
7,Sense and Sensibility,4584,135000000.0,7.2,364.0,Drama,Romance,,,,,
8,Four Rooms,5,4300000.0,6.5,539.0,Crime,Comedy,,,,,
9,Ace Ventura: When Nature Calls,9273,212385533.0,6.1,1128.0,Crime,Comedy,Adventure,,,,
10,Get Shorty,8012,115101622.0,6.4,305.0,Comedy,Thriller,Crime,,,,
11,Assassins,9691,30303072.0,6.0,394.0,Action,Adventure,Crime,Thriller,,,
12,Leaving Las Vegas,451,49800000.0,7.1,365.0,Drama,Romance,,,,,
13,The City of Lost Children,902,1738611.0,7.6,308.0,Fantasy,Science Fiction,Adventure,,,,
14,Twelve Monkeys,63,168840000.0,7.4,2470.0,Science Fiction,Thriller,Mystery,,,,
15,Babe,9598,254134910.0,6.0,756.0,Fantasy,Drama,Comedy,Family,,,
16,Dead Man Walking,687,39363635.0,7.3,350.0,Drama,,,,,,
17,To Die For,577,21284514.0,6.7,177.0,Fantasy,Drama,Comedy,Thriller,,,
18,Se7en,807,327311859.0,8.1,5915.0,Crime,Mystery,Thriller,,,,
19,Pocahontas,10530,346079773.0,6.7,1509.0,Adventure,Animation,Drama,Family,,,
20,The Usual Suspects,629,23341568.0,8.1,3334.0,Drama,Crime,Thriller,,,,
21,Mighty Aphrodite,11448,6700000.0,6.7,145.0,Comedy,Romance,,,,,
22,Friday,10634,28215918.0,7.0,513.0,Comedy,,,,,,
23,From Dusk Till Dawn,755,25836616.0,6.9,1644.0,Horror,Action,Thriller,Crime,,,
24,Screamers,9102,5781885.0,6.1,154.0,Horror,Science Fiction,,,,,
25,Nick of Time,2086,8175346.0,6.1,190.0,Crime,Drama,Thriller,,,,
26,Broken Arrow,9208,150270147.0,5.7,459.0,Action,Adventure,Drama,Thriller,,,
27,Bottle Rocket,13685,560069.0,6.8,285.0,Comedy,Crime,Drama,,,,
28,Happy Gilmore,9614,41205099.0,6.5,767.0,Comedy,,,,,,
29,The Bridges of Madison County,688,182016617.0,7.3,397.0,Drama,Romance,,,,,
30,Braveheart,197,210000000.0,7.7,3404.0,Action,Drama,History,War,,,
31,Taxi Driver,103,28262574.0,8.1,2632.0,Crime,Drama,,,,,
32,Rumble in the Bronx,33542,32392047.0,6.5,245.0,Crime,Action,Comedy,Thriller,,,
33,The Birdcage,11000,185260553.0,6.7,303.0,Comedy,,,,,,
34,Bad Boys,9737,141407024.0,6.5,1729.0,Action,Comedy,Crime,Thriller,,,
35,Apollo 13,568,355237933.0,7.3,1637.0,Drama,,,,,,
36,Rob Roy,11780,31596911.0,6.5,151.0,Adventure,,,,,,
37,Casper,8839,287928194.0,6.0,1045.0,Fantasy,Comedy,Family,,,,
38,Crimson Tide,8963,157387195.0,7.0,508.0,Action,Thriller,Drama,,,,
39,Desperado,8068,25405445.0,6.8,898.0,Thriller,Action,Crime,,,,
40,Die Hard: With a Vengeance,1572,366101666.0,6.9,2094.0,Action,Thriller,,,,,
41,First Knight,6520,127600435.0,5.9,319.0,Action,Adventure,Drama,Romance,,,
42,Hackers,10428,7563728.0,6.2,406.0,Action,Crime,Thriller,Drama,,,
43,Kids,9344,7412216.0,6.8,280.0,Drama,Crime,,,,,
44,Mallrats,2293,2122561.0,6.8,400.0,Romance,Comedy,,,,,
45,The Net,1642,110627965.0,5.6,359.0,Crime,Drama,Mystery,Thriller,Action,,
46,Smoke,10149,8349430.0,7.2,115.0,Comedy,Drama,,,,,
47,Strange Days,281,7959291.0,6.8,334.0,Crime,Drama,Science Fiction,Thriller,,,
48,Under Siege 2: Dark Territory,3512,104324083.0,5.6,217.0,Action,Thriller,,,,,
49,A Walk in the Clouds,9560,50012507.0,6.5,168.0,Drama,Romance,,,,,
50,Waterworld,9804,264218220.0,5.9,1017.0,Adventure,Action,,,,,
51,Before Sunrise,76,5535405.0,7.7,984.0,Drama,Romance,,,,,
52,Billy Madison,11017,26488734.0,6.2,464.0,Comedy,,,,,,
53,Clerks,2292,3151130.0,7.4,769.0,Comedy,,,,,,
54,Don Juan DeMarco,1909,22200000.0,6.3,184.0,Romance,Drama,Comedy,,,,
55,Disclosure,8984,214015089.0,5.9,217.0,Drama,Thriller,Crime,Mystery,Romance,,
56,Dumb and Dumber,8467,247275374.0,6.5,1894.0,Comedy,,,,,,
57,Ed Wood,522,5887457.0,7.3,639.0,Comedy,Drama,History,,,,
58,Heavenly Creatures,1024,3049135.0,6.9,299.0,Drama,Fantasy,,,,,
59,Interview with the Vampire,628,223664608.0,7.2,1558.0,Horror,Romance,,,,,
60,Star Wars,11,775398007.0,8.1,6778.0,Adventure,Action,Science Fiction,,,,
61,Legends of the Fall,4476,160638883.0,7.2,636.0,Adventure,Drama,Romance,War,,,
62,Mary Shelley's Frankenstein,3036,112006296.0,6.1,272.0,Drama,Horror,Science Fiction,Romance,,,
