,belongs_to_collection,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genres,original_language,revenue,title,vote_average,vote_count
0,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",Animation,Comedy,Family,,,,,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,373554033.0,Toy Story,7.7,5415.0
1,,Adventure,Fantasy,Family,,,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,262797249.0,Jumanji,6.9,2413.0
2,"{'id': 96871, 'name': 'Father of the Bride Collection', 'poster_path': '/nts4iOmNnq7GNicycMJ9pSAn204.jpg', 'backdrop_path': '/7qwE57OVZmMJChBpLEbJEmzUydk.jpg'}",Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,76578911.0,Father of the Bride Part II,5.7,173.0
3,,Action,Crime,Drama,Thriller,,,,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,187436818.0,Heat,7.7,1886.0
4,,Comedy,Romance,,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,Sabrina,6.2,141.0
5,,Action,Adventure,Thriller,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,64350171.0,Sudden Death,5.5,174.0
6,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",Adventure,Action,Thriller,,,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,352194034.0,GoldenEye,6.6,1194.0
7,,Comedy,Drama,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,107879496.0,The American President,6.5,199.0
8,,Comedy,Horror,,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",en,0.0,Dracula: Dead and Loving It,5.7,210.0
9,"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",Family,Animation,Adventure,,,,,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,11348324.0,Balto,7.1,423.0
